"关键词","近一天整体指数","近一天PC指数","近一天移动指数","7天均指数","7天PC均指数","7天移动均指数","30天均指数","30天PC均指数","30天移动均指数","7天整体同比","7天整体环比","7天PC同比","7天PC环比","7天移动同比","7天移动环比","30天整体同比","30天整体环比","30天PC同比","30天PC环比","30天移动同比","30天移动环比"
"兄弟之北漂歌手","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"聊斋新编","1247","267","980","1165","256","909","1170","275","895","-18%↓","0","-52%↓","-11%↓","3%↑","3%↑","-20%↓","2%↑","-50%↓","6%↑","-","1%↑"
"隔离岛","433","148","285","396","143","253","379","156","223","165%↑","3%↑","101%↑","-9%↓","223%↑","12%↑","132%↑","-8%↓","104%↑","-4%↓","158%↑","-10%↓"
"外公芳龄38","42825","10306","32519","22147","5959","16188","9038","2741","6297","-","560%↑","-","345%↑","-","703%↑","-","-81%↓","-","-93%↓","-","-34%↓"
"航海王之黄金城","2665","1329","1336","2235","1144","1091","3910","1866","2044","-","-13%↓","-","-15%↓","-","-11%↓","-","-25%↓","-","4%↑","-","-40%↓"
"比利·林恩的中场战事","2339","995","1344","1883","954","929","3325","1554","1771","-","-18%↓","-","-14%↓","-","-21%↓","-","23%↑","-","-17%↓","-","118%↑"
"贫穷富爸爸","479","191","288","512","205","307","644","268","376","-","-6%↓","-","-17%↓","-","2%↑","-","-97%↓","-","-99%↓","-","-59%↓"
"生死96小时","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"减法人生","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"邻家大贱谍","1391","891","500","1222","814","408","1409","880","529","-","-4%↓","-","-5%↓","-","0","-","-36%↓","-","-11%↓","-","-56%↓"
"被劫持的爱情","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"盛先生的花儿","692","205","487","644","192","452","1123","445","678","-","-7%↓","-","-21%↓","-","0","-","5%↑","-","10%↑","-","2%↑"
"一句顶一万句","2362","822","1540","2307","861","1446","2971","1101","1870","70%↑","-3%↓","73%↑","-6%↓","69%↑","-","83%↑","-57%↓","118%↑","-39%↓","67%↑","-63%↓"
"奇异博士","19580","10901","8679","16382","9361","7021","31404","14556","16848","1112%↑","-17%↓","1293%↑","-15%↓","933%↑","-19%↓","2084%↑","-64%↓","1904%↑","-48%↓","2268%↑","-72%↓"
"脑残粉","943","188","755","850","186","664","786","222","564","81%↑","12%↑","-","-6%↓","136%↑","19%↑","56%↑","-46%↓","12%↑","-55%↓","84%↑","-41%↓"
"恐怖笔记","434","94","340","390","88","302","306","90","216","-","25%↑","-","-","-","36%↑","-","-91%↓","-","-95%↓","-","-86%↓"
"何去何从","781","158","623","688","138","550","575","137","438","70%↑","15%↑","3%↑","0","102%↑","19%↑","24%↑","-14%↓","-4%↓","-24%↓","36%↑","-11%↓"
